NO.,Voltage(NL3),Time(NL3)
405,-3.40E+00,6.0500E-06
406,-3.60E+00,6.1000E-06
407,-3.60E+00,6.1500E-06
408,-3.60E+00,6.2000E-06
409,-3.80E+00,6.2500E-06
410,-3.80E+00,6.3000E-06
411,-3.80E+00,6.3500E-06
412,-3.80E+00,6.4000E-06
413,-4.00E+00,6.4500E-06
414,-4.00E+00,6.5000E-06
415,-4.00E+00,6.5500E-06
416,-4.00E+00,6.6000E-06
417,-4.00E+00,6.6500E-06
418,-4.20E+00,6.7000E-06
419,-4.20E+00,6.7500E-06
420,-4.20E+00,6.8000E-06
421,-4.20E+00,6.8500E-06
422,-4.20E+00,6.9000E-06
423,-4.20E+00,6.9500E-06
424,-4.20E+00,7.0000E-06
425,-4.40E+00,7.0500E-06
426,-4.20E+00,7.1000E-06
427,-4.40E+00,7.1500E-06
428,-4.40E+00,7.2000E-06
429,-4.40E+00,7.2500E-06
430,-4.40E+00,7.3000E-06
431,-4.40E+00,7.3500E-06
432,-4.40E+00,7.4000E-06
433,-4.40E+00,7.4500E-06
434,-4.40E+00,7.5000E-06
435,-4.20E+00,7.5500E-06
436,-4.40E+00,7.6000E-06
437,-4.20E+00,7.6500E-06
438,-4.20E+00,7.7000E-06
439,-4.20E+00,7.7500E-06
440,-4.20E+00,7.8000E-06
441,-4.20E+00,7.8500E-06
442,-4.20E+00,7.9000E-06
443,-4.20E+00,7.9500E-06
444,-4.00E+00,8.0000E-06
445,-4.00E+00,8.0500E-06
446,-4.00E+00,8.1000E-06
447,-4.00E+00,8.1500E-06
448,-4.00E+00,8.2000E-06
449,-4.00E+00,8.2500E-06
450,-4.00E+00,8.3000E-06
451,-3.80E+00,8.3500E-06
452,-3.80E+00,8.4000E-06
453,-3.80E+00,8.4500E-06
454,-3.80E+00,8.5000E-06
455,-3.60E+00,8.5500E-06
456,-3.40E+00,8.6000E-06
457,-3.40E+00,8.6500E-06
458,-3.40E+00,8.7000E-06
459,-3.20E+00,8.7500E-06
460,-3.20E+00,8.8000E-06
461,-3.20E+00,8.8500E-06
462,-3.20E+00,8.9000E-06
463,-3.20E+00,8.9500E-06
464,-3.00E+00,9.0000E-06
465,-3.00E+00,9.0500E-06
466,-2.80E+00,9.1000E-06
467,-2.80E+00,9.1500E-06
468,-2.60E+00,9.2000E-06
469,-2.60E+00,9.2500E-06
470,-2.40E+00,9.3000E-06
471,-2.40E+00,9.3500E-06
472,-2.40E+00,9.4000E-06
473,-2.20E+00,9.4500E-06
